Leinefelde.N.M.P.TSum.0600	Leinefelde	90838
Harzgerode.N.M.P.TSum.0600	Harzgerode	81309
Artern.N.M.P.TSum.0600	Artern	80101
Schkeuditz.N.M.P.TSum.0600	Schkeuditz	130849
Wittenberg.N.M.P.TSum.0600	Wittenberg	81936
Holzdorf.N.M.P.TSum.0600	Holzdorf	61520
Oschatz.N.M.P.TSum.0600	Oschatz	130939
Schmücke.N.M.P.TSum.0600	Schmücke	110814
Erfurt.N.M.P.TSum.0600	Erfurt	93200
Neuhaus.N.M.P.TSum.0600	Neuhaus	110421
Sonneberg.N.M.P.TSum.0600	Sonneberg	110731
Schleiz.N.M.P.TSum.0600	Schleiz	100844
Osterfeld.N.M.P.TSum.0600	Osterfeld	82023
Gera.N.M.P.TSum.0600	Gera	103100
Plauen.N.M.P.TSum.0600	Plauen	143300
Chemnitz.N.M.P.TSum.0600	Chemmnitz	143102
Hof.N.M.P.TSum.0600	Hof	210685
Bleiloch.N.M.P.TSum.0600	Bleiloch	43014
Hohenwarte.N.M.P.TSum.0600	Hohenwarte	43032
Munschwitz.N.M.P.TSum.0600	Munschwitz	43103
Scheibe-Alsbach.N.M.P.TSum.0600	Scheibe-Alsbach	43760
Luisenthal.N.M.P.TSum.0600	Luis.-Ohra	43198
Jena.N.M.P.TSum.0600	Jena	43184
Straussfurt.N.M.P.TSum.0600	Straussfurt	43811
Sondershausen.N.M.P.TSum.0600	Sondershsn.	43935
Neustadt/Harz.N.M.P.TSum.0600	TS Neustadt	44157
Stempeda.N.M.P.TSum.0600	Stempeda	44186
Zeulenroda.N.M.P.TSum.0600	Zeulenroda	43352
Staitz.N.M.P.TSum.0600	TS Weida	43353
Greiz.N.M.P.TSum.0600	Greiz	43309
Weißenfels.N.M.P.TSum.0600	Weissenfels	44299
Halle-Kröllwitz.N.M.P.TSum.0600	Halle-Kroellwitz	43530
Kelbra.N.M.P.TSum.0600	Kelbra	44188
Wippra.N.M.P.TSum.0600	Wippra	44337
Beneckenstein.N.M.P.TSum.0600	Beneckenstein	44499
Magdeburg.N.M.P.TSum.0600	Magdeburg	73200
Brocken.N.M.P.TSum.0600	Brocken	72023
Wernigerode.N.M.P.TSum.0600	Wernigerode	72094
Elend.N.M.P.TSum.0600	Elend RHB k. Bode	44403
Königshütte.N.M.P.TSum.0600	Ueberleitgsp.	44404
TS Rappode.N.M.P.TSum.0600	Rappbode TS	44407
Wendefurth.N.M.P.TSum.0600	Wendefurt	44406
Zilierbach.N.M.P.TSum.0600	Zilierbach TS	44430
Blankenburg.N.M.P.TSum.0600	Blankenbg. Harz	44498
Halberstadt.N.M.P.TSum.0600	Halberstadt	44414
Barby.N.M.P.TSum.0600	Barby	45003
Rötha.N.M.P.TSum.0600	Roetha	43478
Altmörbitz.N.M.P.TSum.0600	Schoembach	43451
Windischleuba.N.M.P.TSum.0600	Windischleuba	43436
